Star,Constellation,Right ascension,Declination,App. mag.,Distance (ly),Spectral type,Brown dwarf
2MASS J05012406-0010452,Orion,5h 1m 24.06s,−0° 10′ 45.2″,-,64,L4γ
2MASS J05160945-0445499,Orion,5h 16m 9.45s,−4° 45′ 49.9″,-,73,T5.5
2MASS J0523−1403,Lepus,5h 23m 38.22s,−14° 3′ 2.2″,-,40,L2.5
2MASS 0532+8246,Camelopardalis,5h 32m 53.46s,82° 46′ 46.5″,-,81,L7
SDSS J053951.99-005902.0,-,5h 39m 52s,−0° 59′ 1.9″,21.05,41.62,L5
2MASS J05591914-1404488,Lepus,5h 59m 19.14s,−14° 4′ 48.8″,-,34,T4.5,-
LSR 0602+3910,Auriga,6h 2m 30.45s,39° 10′ 59.2″,20.88,34.6,L1β
2MASS J06085283-2753583,-,6h 8m 52.83s,−27° 53′ 58.3″,-,102,M8.5γ
WISEP J061135.13-041024.0A,-,6h 11m 35.12s,−4° 10′ 24″,-,69,L9
WISEP J061135.13-041024.0B,-,6h 11m 35.12s,−4° 10′ 24″,-,69,T1.5
2MASS J06244595-4521548,Puppis,6h 24m 45.95s,−45° 21′ 54.8″,-,39,L5
2MASS J06411840-4322329,Puppis,6h 41m 18.4s,−43° 22′ 32.9″,-,65,L1.5
DENIS-P J0652197-253450,Canis Major,6h 52m 19.77s,−25° 34′ 50.5″,-,51,L0
2MASS J07003664+3157266,Gemini,7h 0m 36.64s,31° 57′ 26.6″,-,40,L3.5:,-
2MASS J07075327-4900503,-,7h 7m 53.27s,−49° 0′ 50.3″,-,60,M9
UGPS J072227.51-054031.2,Monoceros,7h 22m 27.6s,−05° 40′ 38.4″,-,13.4,T9
2MASSI J0727182+171001,Gemini,7h 27m 18.24s,17° 10′ 1.2″,-,29.6,T7
2MASS J07290002-3954043,Puppis,7h 29m 0.02s,−39° 54′ 4.4″,-,25.8,T8 pec
SDSS J074201.41+205520.5,Gemini,7h 42m 1.3s,20° 55′ 19.8″,-,49,T5
2MASS J0746425+200032,Gemini,7h 46m 42.56s,20° 0′ 32.1″,-,49.6,L0.5,-
DENIS-P J0751164-253043,Puppis,7h 51m 16.45s,−25° 30′ 43.2″,-,55,L2.5
2MASS J07522390+1612157,-,7h 52m 23.9s,16° 12′ 15.7″,-,60,M7βγ,2.01
DENIS J081730.0-615520,Carina,8h 17m 30.01s,−61° 55′ 15.8″,13.6,16.1,T6
DENIS J082303.1−491201,Vela,8h 23m 3.13s,−49° 12′ 1.3″,-,67,L1.5
DENIS J082303.1−491201,Vela,8h 23m 3.13s,−49° 12′ 1.3″,-,67,L5.5
2MASS J08251968+2115521,Cancer,8h 25m 19.68s,21° 15′ 52.1″,-,35,L7.5
SDSSp J083008.12+482847.4,Lynx,8h 30m 8.25s,48° 28′ 48.2″,-,43,L8
LHS 2021,-,8h 30m 32.56s,9° 47′ 15.4″,-,55,M6.5
SDSS J083048.80+012831.1,Hydra,8h 30m 48.78s,1° 28′ 31.1″,-,77,T4.5
2MASSI J0835425-081923,Hydra,8h 35m 42.56s,−8° 19′ 23.7″,-,23.53,L5
